_articleId,tags,geolocation,actorsMentioned,publicationDate,source
25,1,1,1,12/8/2021,"{
    ""name"": ""Mural"",
    ""headline"": ""Hacen basurero en Tala sin tener permiso"",
    ""url"": ""https://www.mural.com.mx/aplicacioneslibre/preacceso/articulo/default.aspx?__rval=1&urlredirect=https://www.mural.com.mx/hacen-basurero-en-tala-sin-tener-permiso/ar2238496?referer=--7d616165662f3a3a6262623b727a7a7279703b767a783a--"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
26,1,1,1,12/8/2021,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Aclara Ayuntamiento de Tala que s\u00ed hay permisos para la construcci\u00f3n del nuevo basurero metropolitano; descartan clausura"",
    ""url"": ""https://lider919.com/aclara-ayuntamiento-de-tala-que-si-hay-permisos-para-la-construccion-del-nuevo-basurero-metropolitano-descartan-clausura "",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
27,1,1,1,12/8/2021,"{
    ""name"": ""La Cascada"",
    ""headline"": ""Construyen en municipio de Tala nuevo vertedero que sustituir\u00e1 a Laureles"",
    ""url"": ""https://www.cascadanoticias.com/noticias/ecologia/ecologia/construyen-en-municipio-de-tala-nuevo-vertedero-que-sustituira-a-laureles"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""Redacci\u00f3n ""
}"
28,1,1,1,12/8/2021,"{
    ""name"": ""REDTN"",
    ""headline"": ""Construyen nuevo basurero metropolitano en Tala."",
    ""url"": ""https://talajalisconoticias.com/2021/08/11/construyen-nuevo-basurero-metropolitano-en-tala/"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""Redacci\u00f3n ""
}"
29,1,1,1,15/08/2021,"{
    ""name"": ""Mural"",
    ""headline"": ""Protestan en Tala por basurero en su municipio"",
    ""url"": ""https://www.mural.com.mx/aplicacioneslibre/preacceso/articulo/default.aspx?__rval=1&urlredirect=/protestan-en-tala-por-basurero-en-su-municipio/ar2240441"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
30,1,1,1,15/08/2021,"{
    ""name"": ""El Occidental"",
    ""headline"": ""Vecinos se manifiestan en contra de basurero metropolitano en Tala"",
    ""url"": ""https://www.eloccidental.com.mx/local/noticias-vecinos-se-manifiestan-en-contra-de-basurero-metropolitano-en-tala-7089135.html"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Elizabeth R\u00edos""
}"
31,1,1,1,15/08/2021,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Habitantes de Tala se manifiestan contra la construcci\u00f3n de basurero"",
    ""url"": ""https://lider919.com/habitantes-de-tala-se-manifiestan-contra-la-construccion-de-basurero"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Cecilia Cerna""
}"
32,1,1,1,15/08/2021,"{
    ""name"": ""Canal 44/Radio UdeG"",
    ""headline"": ""Habitantes de Tala alzan la voz contra nuevo basurero que sustituir\u00e1 a Los Laureles"",
    ""url"": ""https://udgtv.com/noticias/habitantes-tala-alzan-la-voz-nuevo-basurero-sustituira-los-laureles/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""F\u00e1tima Aguilar""
}"
33,1,1,1,15/08/2021,"{
    ""name"": ""La Cr\u00f3nica de Hoy"",
    ""headline"": ""Habitantes de Tala realizan protesta en contra del nuevo basurero metropolitano"",
    ""url"": ""https://www.cronicajalisco.com/notas-habitantes_de_tala_realizan_protesta_en_contra_del_nuevo_basurero_metropolitano-110120-2021"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Ignacio P\u00e9rez Vega""
}"
34,1,1,1,15/08/2021,"{
    ""name"": ""Notisistema"",
    ""headline"": ""Protestan en Tala: se oponen a albergar el nuevo vertedero metropolitano"",
    ""url"": ""https://www.notisistema.com/noticias/protestan-en-tala-se-oponen-a-albergar-el-nuevo-vertedero-metropolitano/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""H\u00e9ctor Escamilla Ram\u00edrez""
}"
35,1,1,1,15/08/2021,"{
    ""name"": ""TodoEnNoticia"",
    ""headline"": ""EL GOBIERNO DE JALISCO PRETENDE MANDAR EL TIRADERO DE LOS LAURELES DE TONAL\u00c1 A TALA, HABITANTES SE OPONEN"",
    ""url"": ""http://todoennoticia.com.mx/occidente-municipios-jalisco/el-gobierno-de-jalisco-pretende-mandar-el-tiradero-de-los-laureles-de-tonala-a-tala-habitantes-se-oponen/"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""Juan Manuel Ram\u00edrez""
}"
36,1,1,1,15/08/2021,"{
    ""name"": ""Antena 7"",
    ""headline"": ""Manifestacion Pacifica vs Vertedero Los Laureles"",
    ""url"": ""https://www.facebook.com/Antena7TalaJalisco/videos/399083124980929"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""S/A""
}"
37,1,1,1,16/08/2021,"{
    ""name"": ""El Diario NTR"",
    ""headline"": ""Habitantes de Tala protestan vs. basurero"",
    ""url"": ""https://ntrguadalajara.com/post.php?id_nota=170408"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Juan Levario""
}"
38,1,1,1,16/08/2021,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Nuevo basurero en Tala da\u00f1ar\u00e1 corredor biol\u00f3gico del bosque La Primavera"",
    ""url"": ""https://lider919.com/nuevo-basurero-en-tala-danara-corredor-biologico-del-bosque-la-primavera"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
39,1,1,1,16/08/2021,"{
    ""name"": ""El Informador"",
    ""headline"": ""La Semadet niega fallas en cierre de vertedero Laureles; defiende nuevo relleno sanitario en Tala"",
    ""url"": ""https://www.informador.mx/jalisco/La-Semadet-niega-fallas-en-cierre-de-vertedero-Laureles-defiende-nuevo-relleno-sanitario-en-Tala-20210816-0097.html"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Rodrigo Rivas Uribe""
}"
40,1,1,1,16/08/2021,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Piden poner a consultar entre habitantes de Tala si aceptan nuevo basurero"",
    ""url"": ""https://lider919.com/piden-poner-a-consultar-entre-habitantes-de-tala-si-aceptan-nuevo-basurero"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
41,1,1,1,16/08/2021,"{
    ""name"": ""Tr\u00e1fico ZMG"",
    ""headline"": ""Autoridades defienden el nuevo basurero en Tala; niegan irregularidades"",
    ""url"": ""https://traficozmg.com/2021/08/autoridades-defienden-el-nuevo-basurero-en-tala-niegan-irregularidades/ "",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""JJ""
}"
42,1,1,1,21/12/2020,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""A menos de un a\u00f1o del cierre de Laureles, a\u00fan no hay nuevo basurero metropolitano"",
    ""url"": ""https://lider919.com/a-menos-de-un-ano-del-cierre-de-laureles-aun-no-hay-nuevo-basurero-metropolitano"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
43,1,1,1,16/08/2021,"{
    ""name"": ""Radar Sonoro"",
    ""headline"": ""Habitantes de Tala se manifiestan contra nuevo basurero para sustituir a Los Laureles"",
    ""url"": ""https://radarsonoro.mx/index.php/2021/08/16/habitantes-de-tala-se-manifiestan-contra-nuevo-basurero-para-sustituir-a-los-laureles/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Redacci\u00f3n""
}"
44,1,1,1,16/08/2021,"{
    ""name"": ""Notisistema"",
    ""headline"": ""Justifican autoridades mudanza de basurero a Tala, acusan politizaci\u00f3n del tema"",
    ""url"": ""https://www.notisistema.com/noticias/justifican-autoridades-mudanza-de-basurero-a-tala-acusan-politizacion-del-tema/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Hector Escamilla Ramirez""
}"
45,1,1,1,16/08/2021,"{
    ""name"": ""Canal 44"",
    ""headline"": ""Habitantes de Tala alzan la voz contra el nuevo basurero que sustituir\u00e1 a Los Laureles"",
    ""url"": ""https://www.youtube.com/watch?v=9z0HwoCmvcI"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Fatima Aguilar""
}"
46,1,1,1,17/08/2021,"{
    ""name"": ""REDTN Jalisco"",
    ""headline"": ""La Semadet niega fallas en cierre de vertedero Laureles; defiende nuevo relleno sanitario en Tala"",
    ""url"": ""https://talajalisconoticias.com/2021/08/17/la-semadet-niega-fallas-en-cierre-de-vertedero-laureles-defiende-nuevo-relleno-sanitario-en-tala/"",
    ""paywall "": true,
    ""coverageLevel"": ""Local"",
    ""author"": ""Mihail Ram\u00edrez""
}"
47,1,1,1,18/08/2021,"{
    ""name"": ""Mural"",
    ""headline"": ""Niegan que Laureles tire lixiviados... sin inspeccionar"",
    ""url"": ""https://www.msn.com/es-mx/noticias/mexico/niegan-que-laureles-tire-lixiviados-sin-inspeccionar/ar-AANooVL?fbclid=IwAR17NOwtBur-DuiPGgfL2ZFH0FMfaJMBe1WXURILz0NduU0rN521_uzinhk"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Violeta Mel\u00e9ndez""
}"
48,1,1,1,18/08/2021,"{
    ""name"": ""MegaNoticias"",
    ""headline"": ""Prometen separaci\u00f3n y cuidado ambiental en nuevo basurero de Tala"",
    ""url"": ""https://www.meganoticias.mx/GUADALAJARA/noticia/prometen-separacion-y-cuidado-ambiental-en-nuevo-basurero-de-tala/265065"",
    ""paywall "": true,
    ""coverageLevel"": ""Nacional/local"",
    ""author"": ""Jose Carlos Rodriguez Toral""
}"
49,1,1,1,18/08/2021,"{
    ""name"": ""Informador"",
    ""headline"": ""Ignorar a las comunidades"",
    ""url"": ""https://www.informador.mx/ideas/Ignorar-a-las-comunidades-20210818-0039.html"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Ruben Martin""
}"
50,1,1,1,18/08/2021,"{
    ""name"": ""L\u00edder informativo"",
    ""headline"": ""Advierten pobladores de El Salto que contin\u00faa contaminaci\u00f3n por lixiviados en Los Laureles"",
    ""url"": ""https://lider919.com/advierten-pobladores-de-el-salto-que-continua-contaminacion-por-lixiviados-en-los-laureles"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Jos\u00e9 Toral""
}"
51,1,1,1,18/08/2021,"{
    ""name"": ""ZonaDocs"",
    ""headline"": ""La gesti\u00f3n de la basura en la ZMG es irregular y criminal por la complicidad de las autoridades: Un Salto de Vida"",
    ""url"": ""https://www.zonadocs.mx/2021/08/18/la-gestion-de-la-basura-en-la-zmg-es-irregular-y-criminal-por-la-complicidad-de-las-autoridades-un-salto-de-vida/"",
    ""paywall "": true,
    ""coverageLevel"": ""Estatal"",
    ""author"": ""Ximena Torres""
}"
